Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Nobody Speak: Trials of the Free Press,nobody speak: trials of the free press,Documentary,English,Movie,"Sweden,Iceland,South Africa,France,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,Argentina,Canada,United States,Israel,Portugal,Greece,Poland,Romania,Singapore,Spain,South Korea,Germany,Netherlands,Hong Kong,Japan,Italy,Thailand,United Kingdom,Hungary,Turkey,Malaysia,Colombia",1-2 hour,6.5,,4,,23-Jun-17,2017-06-23,3680
You Get Me,you get me,"Crime, Drama, Romance, Thriller",English,Movie,"South Africa,Iceland,France,Czech Republic,Lithuania,Belgium,India,Australia,Mexico,United Kingdom,Canada,United States,Portugal,Romania,Greece,Poland,Singapore,South Korea,Hong Kong,Argentina,Russia,Slovakia,Japan,Thailand,Germany,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,4.6,,,,23-Jun-17,2017-06-23,11663
GLOW,glow,"Comedy, Drama, Sport","English, Spanish, Russian, Khmer",Series,"Sweden,South Africa,Iceland,France,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,Argentina,United Kingdom,Canada,United States,Israel,Portugal,Hong Kong,Greece,Poland,Romania,Singapore,Spain,South Korea,Germany,Netherlands,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,8,12,95,,23-Jun-17,2017-06-23,40124
The Slayers,the slayers,"Animation, Action, Adventure, Comedy, Drama, Fantasy",English,Series,"Portugal,Spain",< 30 minutes,7.5,,,,17-Feb-02,2017-06-22,2048
Sully,sully,"Biography, Drama",English,Movie,"France,Belgium,South Korea,Switzerland,Brazil,Argentina,Italy,Mexico,Turkey,Colombia,Russia",1-2 hour,7.4,14,36,"$125,070,033",09-Sep-16,2017-06-22,239884
20th Century Women,20th century women,"Comedy, Drama",English,Movie,United States,1-2 hour,7.3,12,71,"$5,664,764",20-Jan-17,2017-06-22,40135
Storks,storks,"Animation, Adventure, Comedy, Family, Fantasy",English,Movie,"France,Belgium,Switzerland,South Korea,Japan,Brazil,Germany,Italy,Argentina,Greece,Turkey,Mexico,Colombia",1-2 hour,6.8,5,4,"$72,679,278",23-Sep-16,2017-06-22,56294
Free Rein,free rein,"Action, Adventure, Comedy, Drama, Family, Mystery",English,Series,"Sweden,Iceland,South Africa,France,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,Argentina,United Kingdom,Canada,United States,Israel,Portugal,Poland,Hong Kong,Romania,Greece,Singapore,South Korea,Spain,Germany,Netherlands,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,7.3,4,11,,23-Jun-17,2017-06-22,1621
The Family Fang,the family fang,"Comedy, Drama, Mystery",English,Movie,"Canada,Iceland,Greece,Sweden,United Kingdom,Mexico,Argentina,Brazil,Colombia",1-2 hour,6.1,1,1,"$262,921",06-May-16,2017-06-22,8282
Dangal,dangal,"Action, Biography, Drama, Sport","Hindi, English",Movie,"Singapore,Iceland,South Africa,Hungary,Czech Republic,Slovakia,Lithuania,India,Australia,United Kingdom,Canada,United States,Portugal,Romania,France,Poland,Sweden,Spain,Argentina,Germany,Belgium,Mexico,Greece,Switzerland,Hong Kong,Japan,South Korea,Russia,Thailand,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",> 2 hrs,8.4,23,6,"$12,391,761",21-Dec-16,2017-06-21,157305
After the Storm,after the storm,"Comedy, Drama",Japanese,Movie,Japan,1-2 hour,7.4,2,13,"$272,132",21-May-16,2017-06-20,9454
Miffys Adventures Big and Small,miffys adventures big and small,"Animation, Family",English,Series,"Japan,Sweden",< 30 minutes,7.2,,,,02-Oct-15,2017-06-20,32
Dont Call Me Son,dont call me son,Drama,Portuguese,Movie,Brazil,1-2 hour,6.8,5,7,"$11,678",21-Jul-16,2017-06-20,1367
Rory Scovel Tries Stand-Up for the First Time,rory scovel tries stand-up for the first time,"Documentary, Comedy",English,Movie,"Sweden,Netherlands,South Africa,Iceland,France,Czech Republic,Hungary,Slovakia,Lithuania,Russia,Switzerland,Belgium,India,Brazil,Mexico,Argentina,Canada,United States,Israel,Portugal,Greece,Romania,Poland,Singapore,South Korea,Spain,Germany,Hong Kong,Japan,Italy,Thailand,Australia,Turkey,United Kingdom",1-2 hour,6.7,,,,20-Jun-17,2017-06-20,734
The Age of Shadows,the age of shadows,"Action, Drama, Thriller","Korean, Japanese, Mandarin, English",Movie,South Korea,> 2 hrs,7.1,13,37,"$541,719",23-Sep-16,2017-06-18,8591
Letâ€™s Eat,letâ€™s eat,"Comedy, Romance",Korean,Series,"Slovakia,Switzerland,Portugal,Australia,France,Iceland,Japan,South Korea,Russia,Hong Kong,Thailand,Singapore,India,Hungary,Lithuania,Spain,United Kingdom,South Africa,Canada,Mexico,Belgium,Czech Republic,Argentina,Romania,Poland,Sweden,Turkey,Greece,United States,Germany,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,7.8,,,,28-Nov-13,2017-06-18,490
Lets Eat 2,lets eat 2,"Comedy, Romance",Korean,Series,"Switzerland,Slovakia,Portugal,Australia,France,South Korea,Iceland,Japan,Hong Kong,Russia,Thailand,Singapore,Hungary,India,Lithuania,Spain,United Kingdom,South Africa,Canada,Mexico,Belgium,Czech Republic,Argentina,Romania,Poland,Sweden,Turkey,Greece,United States,Germany,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,7.8,,,,28-Nov-13,2017-06-18,490
The Stanford Prison Experiment,the stanford prison experiment,"Biography, Drama, History, Thriller",English,Movie,"Lithuania,Poland,Czech Republic,Hungary,Slovakia,South Africa,Sweden,Romania,Iceland",> 2 hrs,6.9,4,3,"$660,561",17-Jul-15,2017-06-17,36817
Bad Guys,bad guys,Crime,Korean,Series,"Switzerland,Portugal,France,South Korea,Australia,Russia,Thailand,Iceland,Hong Kong,Singapore,India,Germany,Lithuania,United Kingdom,Spain,South Africa,Canada,Mexico,Czech Republic,Belgium,Slovakia,Argentina,Romania,Poland,Sweden,Hungary,Turkey,Greece,United States,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,7.9,1,2,,10-Oct-14,2017-06-17,1212
Reply 1997,reply 1997,"Comedy, Drama, Romance",Korean,Series,"Switzerland,Slovakia,Portugal,Thailand,Australia,Russia,Iceland,South Korea,Singapore,Hungary,India,Germany,Lithuania,Spain,United Kingdom,South Africa,Canada,Mexico,Belgium,Czech Republic,Argentina,Japan,Greece,Sweden,France,Hong Kong,United States,Poland,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia,Romania",< 30 minutes,8.1,2,3,,24-Jul-12,2017-06-17,1573
A Man Called Ove,a man called ove,"Comedy, Drama, Romance","Swedish, Persian",Movie,Sweden,1-2 hour,7.7,16,29,"$3,479,315",30-Sep-16,2017-06-16,47829
Counterpunch,counterpunch,Documentary,English,Movie,"Germany,Sweden,Netherlands,South Africa,Iceland,France,Hungary,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,United Kingdom,Argentina,Canada,United States,Portugal,Hong Kong,Poland,Romania,Greece,Singapore,South Korea,Spain,Japan,Israel,Italy,Thailand,Turkey,Malaysia,Colombia",1-2 hour,6.7,,2,,16-Jun-17,2017-06-16,787
El Chapo,el chapo,"Crime, Drama",Spanish,Series,"Germany,Sweden,Netherlands,South Africa,Iceland,France,Czech Republic,Slovakia,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,United Kingdom,Argentina,Canada,United States,Greece,Spain,Portugal,Romania,Hong Kong,Singapore,Poland,Israel,Japan,South Korea,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",< 30 minutes,7.8,1,,,23-Apr-17,2017-06-16,14820
Manorama Six Feet Under,manorama six feet under,"Crime, Drama, Mystery, Thriller",Hindi,Movie,"Russia,India,Czech Republic,Germany,Mexico,Hong Kong,France,Brazil,Netherlands,Spain,South Africa,Portugal,Israel,Italy,Poland,Argentina,Sweden,Turkey,Iceland,United States,Colombia,Australia,Switzerland",> 2 hrs,7.6,,1,,21-Sep-07,2017-06-16,7272
Soldier,soldier,"Action, Drama, Sci-Fi",English,Movie,"Lithuania,United Kingdom,Russia,Czech Republic,Mexico,Australia,Iceland,India,Hong Kong,Spain,Singapore,Japan,United States,Argentina,Belgium,Slovakia,Sweden,Switzerland,Portugal,Germany,South Africa,Poland,France,Canada,Greece,Thailand,Turkey,Malaysia,Hungary,Brazil,Netherlands,Italy,Israel,Colombia,Romania",> 2 hrs,6.1,,1,"$14,594,226",23-Oct-98,2017-06-16,51883
The Legend of Bhagat Singh,the legend of bhagat singh,"Action, Biography, Drama, History",Hindi,Movie,"Lithuania,Mexico,India,Czech Republic,Germany,Poland,Hong Kong,France,Spain,Greece,Slovakia,Sweden,Belgium,Turkey,Hungary,Brazil,Netherlands,Italy,Iceland,Portugal,Argentina,Israel,Russia,Colombia,Romania",> 2 hrs,8.1,14,7,,07-Jun-02,2017-06-16,14822
Free!,free!,"Animation, Comedy, Drama, Sport","Japanese, English",Series,"Japan,Hong Kong,South Korea,Switzerland,Thailand,Germany,Singapore,India,Malaysia",< 30 minutes,7.4,,2,,01-Jul-13,2017-06-15,2374
High Speed!: Free! Starting Days,high speed!: free! starting days,"Animation, Drama, Sport",Japanese,Movie,"Japan,Switzerland,Germany",1-2 hour,7.2,,,,05-Dec-15,2017-06-15,384
What the Health,what the health,Documentary,English,Movie,"Portugal,Singapore,Poland,Greece,Romania,South Korea,Spain,Germany,Sweden,South Africa,France,Iceland,Slovakia,Czech Republic,Lithuania,Russia,Switzerland,Belgium,Australia,India,Mexico,United Kingdom,Argentina,Canada,United States,Hong Kong,Japan,Thailand,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,7.4,,2,,07-Mar-17,2017-06-15,27117
Marco Luque: Tamo Junto,marco luque: tamo junto,Comedy,,Movie,"Hungary,Lithuania,Russia,India,Australia,Argentina,Canada,United States,Japan,Mexico,South Africa,United Kingdom,Spain,Portugal,Czech Republic",1-2 hour,4.5,,,,15-Jun-17,2017-06-15,64
Kanavu Variyam,kanavu variyam,"Drama, Family",Tamil,Movie,"Hungary,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Singapore,Thailand,Czech Republic,Greece,Slovakia,Iceland,Israel,Romania",1-2 hour,6.6,,,,24-Feb-17,2017-06-15,133
The Final Master,the final master,"Action, Drama","Chinese, English",Movie,South Korea,1-2 hour,6.9,17,21,,11-Dec-15,2017-06-15,2150
Black and White: The Dawn of Justice,black and white: the dawn of justice,Action,Mandarin,Movie,South Korea,> 2 hrs,5.7,3,2,,01-Oct-14,2017-06-15,569
Mother,mother,"Crime, Drama, Mystery, Thriller",Korean,Movie,South Korea,> 2 hrs,7.8,44,46,"$551,509",28-May-09,2017-06-14,53293
Stranger,stranger,"Documentary, Drama, Sport",French,Series,"South Korea,Singapore,India,Slovakia,Czech Republic,Russia,Belgium,Switzerland,United Kingdom,Romania,Sweden,Spain,France,Iceland,South Africa,Mexico,Argentina,Canada,Japan,Portugal,Thailand,Hungary,Turkey,Lithuania,Australia,Poland,Greece,United States,Germany,Hong Kong,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,9,,,,18-Jan-17,2017-06-13,7
"Oh, Hello On Broadway","oh, hello on broadway",Comedy,English,Movie,"Germany,Netherlands,Sweden,Iceland,South Africa,France,Hungary,Slovakia,Czech Republic,Lithuania,Russia,Belgium,Switzerland,India,Australia,Brazil,Mexico,United Kingdom,Argentina,Canada,United States,Portugal,Israel,Poland,Greece,Romania,South Korea,Spain,Singapore,Hong Kong,Japan,Italy,Thailand,Turkey",1-2 hour,7.8,,,,13-Jun-17,2017-06-13,2648
Noddy Toyland Detective,noddy toyland detective,"Animation, Family, Mystery",English,Series,"United States,Germany,Singapore,Hong Kong,United Kingdom,South Africa,Poland,Australia,Russia,Slovakia,Lithuania,Romania,Canada,Switzerland,Thailand,Hungary,Turkey,India,Spain,Portugal,Czech Republic,Belgium,Greece,Malaysia,Netherlands,Italy,Iceland,Israel",< 30 minutes,6.9,,,,02-Apr-16,2017-06-10,97
Singles Villa,singles villa,Romance,,Series,"South Korea,Singapore,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Thailand,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,7.6,,,,04-Jan-15,2017-06-10,22
Storage Hunters,storage hunters,Reality-TV,English,Series,"South Africa,Switzerland,Canada,Spain,Germany,Israel,Poland,Turkey",< 30 minutes,4.5,,,,18-Jan-11,2017-06-10,1510
Black Snow,black snow,"Crime, Drama, Mystery, Thriller",Spanish,Movie,"Portugal,Poland,Romania,Singapore,Germany,Sweden,South Africa,Iceland,France,Czech Republic,Slovakia,Lithuania,Russia,Belgium,Switzerland,India,Australia,Mexico,United Kingdom,Argentina,Canada,United States,South Korea,Spain,Hong Kong,Japan,Thailand,Hungary,Turkey,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",1-2 hour,6.2,1,4,,10-Jun-17,2017-06-10,5319
My Little Baby,my little baby,"Comedy, Drama",Korean,Series,"South Korea,Singapore,Spain,Iceland,France,Czech Republic,Lithuania,Russia,India,Australia,Mexico,United Kingdom,Argentina,Canada,United States,South Africa,Thailand,Hungary,Slovakia,Turkey,Malaysia,Brazil,Colombia",< 30 minutes,6.8,,,,05-Mar-16,2017-06-10,70
Hitoshi Matsumotos Suberanai Hanashi,hitoshi matsumotos suberanai hanashi,Comedy,Japanese,Series,Japan,< 30 minutes,,,,,29-Jun-13,2017-06-09,
When the Bough Breaks,when the bough breaks,"Drama, Thriller",English,Movie,"Hong Kong,France,Romania,Belgium,Hungary,Lithuania,Canada,South Africa,Switzerland,Thailand,Brazil,Czech Republic,Israel,Italy,Australia,Poland,Singapore,India,Argentina,Greece,Malaysia,Slovakia,Turkey,Mexico,Colombia",1-2 hour,5.2,,1,"$29,747,603",09-Sep-16,2017-06-09,6024
Shimmer Lake,shimmer lake,"Crime, Drama, Mystery, Thriller",English,Movie,"Sweden,Netherlands,South Africa,Iceland,France,Czech Republic,Slovakia,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,United Kingdom,Mexico,Argentina,Canada,United States,Israel,Portugal,Hong Kong,Greece,Poland,Romania,South Korea,Singapore,Spain,Germany,Japan,Italy,Thailand,Hungary,Turkey,Malaysia,Colombia",1-2 hour,6.3,,,,09-Jun-17,2017-06-09,11786
Our Times,our times,"Comedy, Romance","Mandarin, Min Nan",Movie,South Korea,> 2 hrs,7.4,5,10,,20-Nov-15,2017-06-09,4514
My Only Love Song,my only love song,"Fantasy, Romance",Korean,Series,"South Korea,South Africa,Iceland,France,Hungary,Czech Republic,Slovakia,Lithuania,Russia,Belgium,Switzerland,India,Australia,United Kingdom,Canada,United States,Portugal,Romania,Poland,Greece,Singapore,Spain,Germany,Sweden,Mexico,Hong Kong,Japan,Thailand,Turkey,Argentina,Malaysia,Brazil,Netherlands,Italy,Israel,Colombia",< 30 minutes,6.8,,,,09-Jun-17,2017-06-09,522
Chronicle of a Blood Merchant,chronicle of a blood merchant,Drama,Korean,Movie,Japan,> 2 hrs,6.8,,2,,15-Jan-15,2017-06-09,484
Ghost in the Shell Arise,ghost in the shell arise,"Animation, Action, Sci-Fi",Japanese,Series,"Japan,Portugal,Spain",< 30 minutes,7.2,,1,,22-Jun-13,2017-06-08,3786
Ghost in the Shell: Arise - Alternative Architecture,ghost in the shell: arise - alternative architecture,"Animation, Action, Drama, Sci-Fi",Japanese,Series,Japan,< 30 minutes,7.5,,,,05-Apr-15,2017-06-08,688
Bastille Day,bastille day,"Comedy, Fantasy",French,Movie,"Poland,Belgium,United States,Netherlands",1-2 hour,4.6,,,,06-Apr-16,2017-06-08,3628
Zarafa,zarafa,"Animation, Adventure, Family",French,Movie,United Kingdom,1-2 hour,7,,5,,08-Feb-12,2017-06-08,1578
Miniforce,miniforce,"Animation, Action, Adventure",,Series,"United States,Hong Kong,South Korea",< 30 minutes,4.6,,,,21-Feb-16,2017-06-08,24
Trolls,trolls,"Animation, Adventure, Comedy, Family, Fantasy, Musical",English,Movie,South Korea,1-2 hour,6.5,4,36,"$153,707,064",04-Nov-16,2017-06-07,72665
The Edge of Seventeen,the edge of seventeen,"Comedy, Drama",English,Movie,"Switzerland,France,Hungary,Lithuania,Portugal,Romania,Mexico,India,Russia,United Kingdom,South Korea,Iceland,Japan,Belgium,Brazil,Czech Republic,Netherlands,Spain,Germany,Israel,Italy,Australia,Poland,Argentina,Greece,Slovakia,Turkey,Hong Kong,Thailand,Singapore,Malaysia,Colombia",1-2 hour,7.3,8,28,"$14,431,633",18-Nov-16,2017-06-07,104892
I Can Quit Whenever I Want,i can quit whenever i want,"Comedy, Crime","Italian, Russian, Latin",Movie,Italy,1-2 hour,7,7,22,,06-Feb-14,2017-06-07,7871
Our Sunhi,our sunhi,"Comedy, Drama, Romance",Korean,Movie,South Korea,1-2 hour,6.8,7,9,,12-Sep-13,2017-06-06,1079
The Master Plan,the master plan,"Action, Adventure, Comedy, Crime",Swedish,Movie,Poland,1-2 hour,5.4,3,1,,16-Jan-15,2017-06-06,2319
Heidi,heidi,"Drama, Family","Afrikaans, German, Swiss German",Movie,"Japan,Germany",1-2 hour,7.5,4,7,,10-Dec-15,2017-06-06,4952
American Pastoral,american pastoral,"Crime, Drama","English, Hebrew",Movie,Poland,1-2 hour,6.1,1,3,"$544,098",21-Oct-16,2017-06-06,15356
Sword Oratoria: Is It Wrong to Try to Pick Up Girls in a Dungeon? On the Side,sword oratoria: is it wrong to try to pick up girls in a dungeon? on the side,"Animation, Action, Adventure, Fantasy, Mystery",Japanese,Series,"Japan,Belgium,France,South Korea,Switzerland,Thailand,Singapore,Malaysia",< 30 minutes,7.1,,,,14-Apr-17,2017-06-05,992
Manjhi: The Mountain Man,manjhi: the mountain man,"Adventure, Biography, Drama",Hindi,Movie,India,1-2 hour,8,,2,,21-Aug-15,2017-06-05,17789
The Space Between Us,the space between us,"Drama, Romance, Sci-Fi",English,Movie,"Japan,United States,South Korea,Romania,Hungary,Sweden,Czech Republic,Belgium,Australia,Singapore,Slovakia,Malaysia,Italy,India,Germany,Switzerland",> 2 hrs,6.4,,4,"$7,885,294",03-Feb-17,2017-06-03,48404
Headshot,headshot,"Action, Drama, Thriller","Indonesian, English",Movie,"Israel,Portugal,Hong Kong,Greece,Poland,Romania,Singapore,Spain,Germany,Sweden,Netherlands,South Africa,France,Iceland,Czech Republic,Hungary,Slovakia,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Mexico,Argentina,United Kingdom,Canada,United States,Japan,Italy,Thailand,South Korea,Turkey,Malaysia,Colombia",1-2 hour,6.3,2,3,,03-Mar-17,2017-06-03,13141
Molly Moon and the Incredible Book of Hypnotism,molly moon and the incredible book of hypnotism,"Adventure, Family, Fantasy",English,Movie,South Africa,1-2 hour,5.3,1,1,,02-Dec-16,2017-06-02,1061
Lucid Dream,lucid dream,"Sci-Fi, Thriller",Korean,Movie,"South Korea,Sweden,South Africa,Iceland,France,Czech Republic,Hungary,Slovakia,Lithuania,Russia,Belgium,Switzerland,India,Australia,Mexico,Argentina,Canada,United States,Portugal,Hong Kong,Poland,Romania,Singapore,Spain,Germany,Japan,Thailand,United Kingdom,Turkey,Greece,Brazil,Netherlands,Israel,Italy,Colombia",1-2 hour,6.1,,,,02-Jun-17,2017-06-02,2958
Los Ãšltimos de Filipinas,los ãšltimos de filipinas,"Drama, History, War",Spanish,Movie,"Hong Kong,Singapore,Poland,Romania,Germany,Sweden,South Africa,Hungary,Slovakia,Lithuania,Russia,Switzerland,India,Australia,Mexico,Argentina,United Kingdom,Canada,United States,Japan,Thailand,Spain,Czech Republic,Belgium,Greece,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia",> 2 hrs,6.5,1,16,"$2,848",03-Mar-17,2017-06-02,2881
Saint Seiya,saint seiya,"Animation, Action, Adventure, Drama, Fantasy, Sci-Fi",Japanese,Series,"Japan,Australia,Argentina,United States,Canada,Brazil,Mexico,Colombia",< 30 minutes,8.5,,,,30-Aug-03,2017-06-01,9195
Lovely Complex,lovely complex,"Animation, Comedy, Romance",Japanese,Series,Japan,< 30 minutes,8,,,,07-Apr-07,2017-06-01,2262
Marmalade Boy,marmalade boy,"Animation, Comedy, Drama, Romance",English,Series,Japan,< 30 minutes,7.2,,,,13-Mar-94,2017-06-01,413
Miss Peregrines Home for Peculiar Children,miss peregrines home for peculiar children,"Adventure, Drama, Family, Fantasy, Thriller",English,Movie,"South Korea,Hong Kong,Thailand,Singapore,Malaysia",> 2 hrs,6.7,2,12,"$87,242,834",30-Sep-16,2017-06-01,156095
War on Everyone,war on everyone,"Action, Comedy, Crime","English, Spanish",Movie,"United States,Canada",1-2 hour,5.8,1,1,,03-Feb-17,2017-06-01,17225
Catfight,catfight,"Action, Comedy, Drama",English,Movie,"India,Australia,Israel,Portugal,Poland,Greece,South Korea,Singapore,Romania,Spain,Germany,Netherlands,Sweden,Iceland,South Africa,France,Slovakia,Czech Republic,Hungary,Lithuania,Russia,Belgium,Switzerland,Brazil,Mexico,Argentina,United Kingdom,Canada,United States,Hong Kong,Japan,Italy,Thailand,Turkey,Malaysia,Colombia",1-2 hour,5.9,,,,03-Mar-17,2017-06-01,5489
Dog Day Afternoon,dog day afternoon,"Biography, Crime, Drama, Thriller",English,Movie,"Hungary,Czech Republic,Poland,Slovakia,Romania",> 2 hrs,8,14,21,"$50,000,000",25-Dec-75,2017-06-01,236043
Forbidden Ground,forbidden ground,"Action, Drama, War",English,Movie,United Kingdom,1-2 hour,4.9,3,1,,11-Dec-13,2017-06-01,1896
Prince,prince,"Musical, Romance",Hindi,Movie,"Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",> 2 hrs,7.1,,,,,2017-06-01,136
Maya Memsaab,maya memsaab,"Drama, Mystery, Romance",Hindi,Movie,"Iceland,Czech Republic,Slovakia,Lithuania,Russia,India,Canada,United States,Romania,France,Belgium,Switzerland,Germany,Spain,Mexico,South Africa,Greece,Hungary,United Kingdom,Australia,Singapore,Thailand,Argentina,Malaysia,Netherlands,Israel,Colombia",> 2 hrs,5.4,1,,,02-Jul-93,2017-06-01,2052
Aashik Awara,aashik awara,Drama,Hindi,Movie,"Hungary,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Czech Republic,Slovakia,Malaysia,Iceland",> 2 hrs,5.3,1,,,,2017-06-01,296
Oh Darling Yeh Hai India,oh darling yeh hai india,Comedy,Hindi,Movie,"South Africa,Iceland,Slovakia,Czech Republic,Lithuania,Russia,India,Australia,United Kingdom,Canada,United States,Greece,Romania,Singapore,France,Belgium,Switzerland,Mexico,Spain,Thailand,Hungary,Argentina,Germany,Malaysia,Netherlands,Israel,Colombia",> 2 hrs,4.2,,,,11-Aug-95,2017-06-01,1559
Qila,qila,"Drama, Family, Music",Hindi,Movie,"Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",> 2 hrs,5.2,,,,10-Apr-98,2017-06-01,107
Without Gorky,without gorky,Documentary,English,Movie,"Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",1-2 hour,6.5,,,,16-Dec-13,2017-06-01,81
The Phone,the phone,"Action, Mystery, Thriller",Korean,Movie,South Korea,1-2 hour,6.6,1,,"$40,516",22-Oct-15,2017-06-01,743
Obsessed,obsessed,Drama,Korean,Movie,"Japan,South Korea",> 2 hrs,6.1,6,7,,14-May-14,2017-06-01,1161
My Princess,my princess,"Comedy, Drama, Romance",Korean,Series,South Korea,< 30 minutes,7,,2,,05-Jan-11,2017-06-01,770
Man in Love,man in love,"Drama, Romance",Korean,Movie,South Korea,1-2 hour,6.9,,1,,22-Jan-14,2017-06-01,565
The Attorney,the attorney,Drama,Korean,Movie,South Korea,> 2 hrs,7.7,35,28,"$557,236",18-Dec-13,2017-06-01,5238
Mind Game,mind game,"Short, Drama, Thriller",English,Series,"Singapore,Lithuania,India,Australia,United Kingdom,Canada,United States,Russia,Hong Kong,South Africa,Hungary,Czech Republic,Slovakia,Malaysia,Iceland",< 30 minutes,,1,1,,,2017-06-01,
Michael Lost and Found,michael lost and found,"Documentary, Short",English,Movie,"Romania,Iceland,Hungary,Slovakia,Czech Republic,Lithuania,Russia,India,Canada,United States,Sweden,Belgium,Argentina,Spain,Germany,France,Switzerland,Mexico,South Africa,Japan,Australia,Turkey,United Kingdom,Greece,Malaysia,Brazil,Netherlands,Israel,Italy,Colombia",< 30 minutes,5.2,,,,27-May-17,2017-06-01,343
7 Assassins,7 assassins,"Action, Adventure","Cantonese, Mandarin",Movie,Hong Kong,1-2 hour,5,,,,23-Dec-14,2017-06-01,317
Smoke and Mirrors,smoke and mirrors,,,Movie,"South Korea,Poland,Singapore,Romania,Germany,South Africa,Lithuania,Switzerland,India,United Kingdom,Mexico,Canada,United States,Hong Kong,Argentina,Russia,Slovakia,Sweden,Thailand,Hungary,Turkey,Spain,Portugal,Czech Republic,Belgium,Malaysia,Brazil,Netherlands,Italy,Iceland,Israel,Colombia",> 2 hrs,,,,,,2017-06-01,
The Day Will Come,the day will come,Drama,Danish,Series,,< 30 minutes,7.9,9,8,,21-Apr-16,2017-06-01,3905
Lens,lens,"Drama, Mystery, Thriller","English, Malayalam, Tamil, Hindi",Movie,"Portugal,Greece,Poland,Singapore,South Korea,Romania,Spain,Germany,Sweden,Netherlands,South Africa,Iceland,France,Hungary,Czech Republic,Slovakia,Lithuania,Russia,Switzerland,Belgium,India,Australia,Brazil,Argentina,Canada,United States,Hong Kong,Japan,Mexico,Israel,Italy,Thailand,Turkey,United Kingdom,Colombia",1-2 hour,6.8,,,,01-Jun-17,2017-05-31,1069
Stratton,stratton,"Action, Thriller",English,Movie,"Belgium,Netherlands",1-2 hour,4.8,,,,05-Jan-18,2017-05-31,4588
Loomis Fargo,loomis fargo,"Biography, Comedy, Crime","English, Spanish",Movie,"Hungary,South Africa,Spain,Czech Republic,Poland,Australia",1-2 hour,5.8,,1,"$17,368,022",30-Sep-16,2017-05-30,50992
Doctor Strange,doctor strange,"Action, Adventure, Fantasy, Sci-Fi",English,Movie,Canada,1-2 hour,7.5,19,67,"$232,641,920",04-Nov-16,2017-05-30,600090
Lion,lion,"Biography, Drama","English, Hindi, Bengali",Movie,"Japan,Belgium,Netherlands,Greece,Turkey,India",1-2 hour,8,59,106,"$51,738,905",06-Jan-17,2017-05-30,214843
Arms and the Dudes,arms and the dudes,"Biography, Comedy, Crime, Drama, War","English, Arabic, Albanian, Romanian",Movie,"France,Belgium,South Korea,Switzerland,Brazil,Germany,Italy,Argentina,Mexico,Colombia,United States",1-2 hour,7.1,,3,"$43,034,523",19-Aug-16,2017-05-30,179558
Sarah Silverman: A Speck of Dust,sarah silverman: a speck of dust,Comedy,English,Movie,"Netherlands,Sweden,Iceland,South Africa,France,Hungary,Slovakia,Czech Republic,Lithuania,Russia,Belgium,Switzerland,India,Australia,Brazil,Mexico,Argentina,Canada,United States,Israel,Portugal,Singapore,Poland,Greece,South Korea,Romania,Spain,Germany,Hong Kong,Japan,Italy,Thailand,United Kingdom,Turkey",1-2 hour,6.8,,,,30-May-17,2017-05-30,3293
