Title,Title,Genre,Languages,Series or Movie,Country Availability,Runtime,IMDb Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes
Rebel in the Rye,rebel in the rye,"Biography, Drama, Romance, War",English,Movie,South Korea,1-2 hour,6.7,,,"$378,294",15-Sep-17,2021-02-28,8472
The Return,the return,Drama,Russian,Movie,South Korea,1-2 hour,8,34,19,"$504,256",25-Jun-03,2021-02-28,42530
The Rookies,the rookies,"Crime, Drama",English,Movie,South Korea,1-2 hour,6.7,,,,07-Mar-72,2021-02-28,834
Snatch Up,snatch up,"Drama, Crime, Action",English,Movie,South Korea,1-2 hour,6,,,,12-Apr-18,2021-02-28,52
Stray,stray,"Action, Crime, Fantasy, Thriller",English,Movie,South Korea,1-2 hour,4.8,,,,01-Apr-19,2021-02-28,688
Stand by Me,stand by me,"Adventure, Drama",English,Movie,South Korea,1-2 hour,8.1,5,11,"$52,287,414",22-Aug-86,2021-02-28,364302
Tea Pets,tea pets,"Animation, Adventure",Chinese,Movie,South Korea,1-2 hour,5.6,,1,,14-Jan-20,2021-02-28,199
A Tiger In Winter,a tiger in winter,"Drama, Romance",Korean,Movie,South Korea,1-2 hour,6.3,,1,,12-Apr-18,2021-02-28,69
The Three Little Pigs,the three little pigs,Animation,English,Movie,South Korea,1-2 hour,5.8,,,,,2021-02-28,34
Wonderstruck,wonderstruck,"Adventure, Drama, Mystery","English, Spanish",Movie,South Korea,1-2 hour,6.2,1,33,"$1,060,377",20-Oct-17,2021-02-28,9533
Keys To The Heart,keys to the heart,"Comedy, Drama, Family",Korean,Movie,South Korea,> 2 hrs,7.5,,1,"$75,134",26-Jan-18,2021-02-28,825
Intimate Strangers,intimate strangers,"Drama, Romance, Thriller",French,Movie,South Korea,1-2 hour,7,,3,"$2,110,589",03-Sep-04,2021-02-28,4813
Homme Fatale,homme fatale,"Comedy, History, Romance",Korean,Movie,South Korea,1-2 hour,6.9,,,,10-Jul-19,2021-02-28,86
Happy Bus Day,happy bus day,"Comedy, Drama",Korean,Movie,South Korea,1-2 hour,6.8,2,2,,21-Apr-17,2021-02-28,27
Gonjiam: Haunted Asylum,gonjiam: haunted asylum,Horror,Korean,Movie,South Korea,1-2 hour,6.3,2,9,"$115,252",28-Mar-18,2021-02-28,5195
Golden Slumber,golden slumber,"Action, Drama, Thriller",Japanese,Movie,South Korea,1-2 hour,7.1,,1,,30-Jan-10,2021-02-28,1098
Extreme Job,extreme job,"Action, Comedy, Crime","Korean, Mandarin",Movie,South Korea,1-2 hour,7.1,7,27,"$1,565,885",21-Jun-19,2021-02-28,6757
Default,default,Drama,"Korean, English",Movie,South Korea,1-2 hour,6.6,3,6,"$203,775",28-Nov-18,2021-02-28,1007
Criticsized,criticsized,"Action, Crime, Drama, Horror, Thriller",English,Movie,South Korea,1-2 hour,3.6,,,,13-Dec-16,2021-02-28,173
Communication & Lies,communication & lies,"Short, Drama",English,Movie,South Korea,1-2 hour,5,,,,,2021-02-28,105
Clover,clover,"Comedy, Crime, Thriller",English,Movie,South Korea,1-2 hour,4.2,,,,03-Apr-20,2021-02-28,246
Blood Orange,blood orange,Thriller,English,Movie,South Korea,1-2 hour,4.3,,,,29-Apr-16,2021-02-28,742
The Big Shot,the big shot,"Crime, Drama, Film-Noir, Thriller",English,Movie,South Korea,1-2 hour,6.7,,,,13-Jun-42,2021-02-28,782
Angels Time,angels time,"Action, Drama, Fantasy, Thriller",English,Movie,South Korea,1-2 hour,7.9,12,48,,05-Oct-99,2021-02-28,64596
After My Death,after my death,Drama,Korean,Movie,South Korea,1-2 hour,6.3,8,8,,13-Sep-18,2021-02-28,224
The Age of Blood,the age of blood,Action,Korean,Movie,South Korea,1-2 hour,5.9,,,,14-Nov-17,2021-02-28,148
The Accidental Detective 2: In Action,the accidental detective 2: in action,"Comedy, Crime, Thriller",Korean,Movie,South Korea,1-2 hour,6.5,,,"$179,045",22-Jun-18,2021-02-28,513
12 Feet Deep,12 feet deep,"Horror, Thriller",English,Movie,South Korea,1-2 hour,5.5,,,,20-Jun-17,2021-02-28,11977
1987: When the Day Comes,1987: when the day comes,Drama,Korean,Movie,South Korea,> 2 hrs,7.8,25,38,,12-Jan-18,2021-02-28,3819
Enter the Fat Dragon,enter the fat dragon,"Action, Comedy","Cantonese, Japanese, English",Movie,South Korea,1-2 hour,5.7,,,"$46,855",14-Feb-20,2021-02-28,1351
Operation Buffalo,operation buffalo,"Adventure, Comedy, Drama, Thriller, War","English, Aboriginal",Series,"Thailand,Singapore,Australia,Malaysia,India,Hong Kong,Japan",< 30 minutes,6.3,1,11,,31-May-20,2021-02-28,401
Bigfoot Family,bigfoot family,"Animation, Family",,Movie,"Australia,United Kingdom,United States,Canada",1-2 hour,6,,1,,05-Aug-20,2021-02-27,749
The Girl on the Train,the girl on the train,"Crime, Drama, Mystery, Thriller","English, Spanish",Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,South Korea,United States,Russia,Argentina",> 2 hrs,6.5,4,12,"$75,395,035",07-Oct-16,2021-02-27,169614
Ginny & Georgia - The Afterparty,ginny & georgia - the afterparty,"Animation, Short",English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,Sweden,South Africa,Netherlands,Germany,Thailand,Turkey,Singapore,Romania,Israel,Australia,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia,Argentina",30-60 mins,5.3,,,,01-May-16,2021-02-27,7
Ride Your Wave,ride your wave,"Animation, Comedy, Drama, Family, Fantasy, Romance",Japanese,Movie,Japan,1-2 hour,6.8,2,3,"$332,432",19-Feb-20,2021-02-26,1601
Baumbacher Syndrome,baumbacher syndrome,"Comedy, Drama","English, German",Movie,"Germany,Switzerland",1-2 hour,7.4,2,9,,20-Jan-21,2021-02-26,332
La Palma,la palma,"Comedy, Drama, Romance","German, English, Spanish, Danish",Movie,"Germany,Switzerland",1-2 hour,7.6,,,,04-Jun-20,2021-02-26,49
Fuga,fuga,"Drama, Music, Thriller",Spanish,Movie,"Spain,Mexico,Brazil,Colombia,United States,Argentina",1-2 hour,6.2,5,2,,27-Mar-06,2021-02-26,932
Geez & Ann,geez & ann,Animation,English,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Canada,Belgium,Mexico,Portugal,South Africa,Hungary,Thailand,Slovakia,Singapore,Sweden,Netherlands,Argentina,Germany,Israel,Turkey,Australia,Romania,Switzerland,Brazil,United Kingdom,India,Malaysia,Hong Kong,Colombia,Japan,United States,Russia",1-2 hour,8,,,,22-Jun-12,2021-02-26,40
Capone,capone,"Biography, Crime, Drama","English, Polish",Movie,United Kingdom,1-2 hour,4.7,,1,,12-May-20,2021-02-25,14436
Vaterland: A Hunting Logbook,vaterland: a hunting logbook,Thriller,Czech,Movie,Slovakia,1-2 hour,6.3,2,1,,19-Aug-04,2021-02-25,135
The Last Bastion,the last bastion,"Drama, History, War",English,Series,"Spain,Mexico,Argentina,Brazil,Colombia,United States",< 30 minutes,8.5,,,,06-Nov-84,2021-02-25,60
Princess Principal,princess principal,"Animation, Action, Adventure, Drama, Sci-Fi",Japanese,Series,Japan,< 30 minutes,7.3,1,1,,09-Jul-17,2021-02-24,321
Above Suspicion,above suspicion,"Action, Biography, Crime, Thriller",English,Movie,"Mexico,Argentina,Brazil,Colombia",1-2 hour,5.5,,,,13-Nov-20,2021-02-24,2496
A Call to Spy,a call to spy,"Biography, Crime, Drama, Thriller, War",English,Movie,United Kingdom,> 2 hrs,6.3,3,2,"$159,014",02-Oct-20,2021-02-23,1684
Red,red,"Action, Comedy, Crime, Thriller","English, Russian",Movie,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Israel,Australia,Brazil,Malaysia,India,Colombia,Hong Kong,Japan,United States,Russia,Argentina",> 2 hrs,7,4,19,"$90,380,162",15-Oct-10,2021-02-23,290548
Made You Look: A True Story About Fake Art,made you look: a true story about fake art,Documentary,English,Movie,"Lithuania,Poland,France,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Hungary,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Israel,Switzerland,Australia,United Kingdom,Malaysia,India,Hong Kong,Japan,South Korea,Russia,Iceland,Mexico,Argentina,Brazil,Colombia,United States",1-2 hour,7,,,,23-Feb-21,2021-02-23,214
Il signor Diavolo,il signor diavolo,"Horror, Mystery, Thriller",Italian,Movie,Italy,1-2 hour,6,1,3,,22-Aug-19,2021-02-22,1002
Chihayafuru,chihayafuru,"Animation, Comedy, Drama",Japanese,Series,South Korea,< 30 minutes,8.2,,1,,05-Oct-11,2021-02-21,965
Classmates Minus,classmates minus,"Comedy, Drama",,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Switzerland,Australia,United Kingdom,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,South Korea,United States,Russia",> 2 hrs,7.4,3,7,,20-Feb-21,2021-02-21,494
Oh My JUMP!,oh my jump!,Drama,Japanese,Series,Japan,< 30 minutes,8.4,,,,13-Jan-18,2021-02-20,5
The Mole Agent,the mole agent,Documentary,Spanish,Movie,"Mexico,Argentina,Colombia",1-2 hour,7.6,4,17,,01-Sep-20,2021-02-20,839
The Loop,the loop,Comedy,English,Movie,Poland,1-2 hour,7.3,,1,,,2021-02-20,1881
I Care a Lot,i care a lot,"Comedy, Crime, Thriller",English,Movie,"Poland,France,Greece,Czech Republic,Portugal,Mexico,Hungary,Slovakia,South Africa,Thailand,Germany,Singapore,Turkey,Argentina,Romania,Israel,Brazil,Malaysia,India,Colombia,Hong Kong,United States",1-2 hour,6.6,,,,19-Feb-21,2021-02-20,201
No Escape Room,no escape room,"Horror, Mystery, Thriller",English,Movie,United States,1-2 hour,5.2,,,,06-Oct-18,2021-02-19,2840
Legacy of Lies,legacy of lies,"Action, Thriller","English, Ukrainian, Russian",Movie,United Kingdom,1-2 hour,5,9,8,,28-Jul-20,2021-02-19,1912
2067,2067,Sci-Fi,English,Movie,Australia,1-2 hour,4.8,,,,02-Oct-20,2021-02-19,4450
Ronny & Klaid,ronny & klaid,"Comedy, Musical",German,Movie,"Germany,Switzerland",1-2 hour,5.6,,,,13-Apr-32,2021-02-19,5
Burden,burden,Drama,English,Movie,Netherlands,1-2 hour,6.6,2,1,"$139,270",09-Jun-20,2021-02-19,1814
Collective,collective,Documentary,"Romanian, English",Movie,Canada,1-2 hour,8.4,25,42,,20-Nov-20,2021-02-19,3300
Love,love,"Drama, Romance","English, French",Movie,"Canada,Mexico,South Africa,Thailand,Singapore,Turkey,Argentina,Israel,Australia,Brazil,Malaysia,Colombia,India,Hong Kong,Japan,United States,Russia",1-2 hour,6.1,2,1,"$249,083",30-Oct-15,2021-02-19,48843
Sisyphus,sisyphus,"Animation, Short",None,Series,"Iceland,Canada,South Africa,Thailand,Singapore,United Kingdom,Australia,Malaysia,India,Hong Kong,Japan,South Korea,United States",< 30 minutes,6.9,,2,,01-Oct-74,2021-02-18,695
Eeb Allay Ooo!,eeb allay ooo!,"Comedy, Drama",Hindi,Movie,"Lithuania,Poland,France,Iceland,Italy,Spain,Greece,Czech Republic,Belgium,Portugal,Canada,Hungary,Mexico,Slovakia,South Africa,Sweden,Netherlands,Thailand,Germany,Singapore,Turkey,Romania,Argentina,Israel,Switzerland,United Kingdom,Australia,Malaysia,Brazil,Colombia,India,Hong Kong,Japan,United States,Russia",1-2 hour,7.4,4,3,,18-Dec-20,2021-02-18,784
